diff,msg,isGood
"mmm a / res / values - rm / strings . xml <nl> ppp / dev / null <nl> <nl> - < ? xml version = "" 1 . 0 "" encoding = "" UTF - 8 "" ? > <nl> - < ! - - <nl> - / * <nl> - * Copyright ( C ) 2008 The Android Open Source Project <nl> - * <nl> - * Licensed under the Apache License , Version 2 . 0 ( the "" License "" ) ; <nl> - * you may not use this file except in compliance with the License . <nl> - * You may obtain a copy of the License at <nl> - * <nl> - * http : / / www . apache . org / licenses / LICENSE - 2 . 0 <nl> - * <nl> - * Unless required by applicable law or agreed to in writing , software <nl> - * distributed under the License is distributed on an "" AS IS "" BASIS , <nl> - * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND , either express or implied . <nl> - * See the License for the specific language governing permissions and <nl> - * limitations under the License . <nl> - * / <nl> - - - > <nl> - <nl> - < resources xmlns : android = "" http : / / schemas . android . com / apk / res / android "" <nl> - xmlns : xliff = "" urn : oasis : names : tc : xliff : document : 1 . 2 "" > <nl> - < ! - - no translation found for application_name ( 5181331383435256801 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for home ( 7658288663002113681 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for uid_name ( 7820867637514617527 ) - - > <nl> - < skip / > <nl> - < string name = "" folder_name "" msgid = "" 7371454440695724752 "" > < / string > <nl> - < ! - - no translation found for activity_not_found ( 8071924732094499514 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for widgets_tab_label ( 2921133187116603919 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for widget_adder ( 3201040140710381657 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for toggle_weight_watcher ( 5645299835184636119 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for long_press_widget_to_add ( 7699152356777458215 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for market ( 2619650989819296998 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for widget_dims_format ( 2370757736025621599 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for external_drop_widget_error ( 3165821058322217155 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for external_drop_widget_pick_title ( 3486317258037690630 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for rename_folder_label ( 3727762225964550653 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for rename_folder_title ( 3771389277707820891 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for rename_action ( 5559600076028658757 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for cancel_action ( 7009134900002915310 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for menu_item_add_item ( 1264911265836810421 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for group_applications ( 3797214114206693605 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for group_shortcuts ( 6012256992764410535 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for group_widgets ( 1569030723286851002 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for completely_out_of_space ( 6106288382070760318 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for out_of_space ( 4691004494942118364 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for hotseat_out_of_space ( 7448809638125333693 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for invalid_hotseat_item ( 5779907847267573691 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for shortcut_installed ( 1701742129426969556 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for shortcut_uninstalled ( 8176767991305701821 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for shortcut_duplicate ( 9167217446062498127 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for title_select_shortcut ( 6680642571148153868 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for title_select_application ( 3280812711670683644 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for all_apps_button_label ( 9110807029020582876 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for all_apps_home_button_label ( 252062713717058851 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for delete_zone_label_workspace ( 4009607676751398685 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for delete_zone_label_all_apps ( 8083826390278958980 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for delete_target_label ( 1822697352535677073 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for delete_target_uninstall_label ( 5100785476250872595 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for info_target_label ( 8053346143994679532 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for accessibility_search_button ( 1628520399424565142 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for accessibility_voice_search_button ( 4637324840434406584 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for accessibility_all_apps_button ( 2603132375383800483 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for accessibility_delete_button ( 6466114477993744621 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for delete_zone_label_all_apps_system_app ( 449755632749610895 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for cab_menu_delete_app ( 7435191475867183689 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for cab_menu_app_info ( 8593722221450362342 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for cab_app_selection_text ( 374688303047985416 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for cab_widget_selection_text ( 1833458597831541241 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for cab_folder_selection_text ( 7999992513806132118 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for cab_shortcut_selection_text ( 2103811025667946450 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for permlab_install_shortcut ( 5632423390354674437 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for permdesc_install_shortcut ( 923466509822011139 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for permlab_uninstall_shortcut ( 864595034498083837 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for permdesc_uninstall_shortcut ( 5134129545001836849 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for permlab_read_settings ( 1941457408239617576 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for permdesc_read_settings ( 5833423719057558387 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for permlab_write_settings ( 3574213698004620587 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for permdesc_write_settings ( 5440712911516509985 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for gadget_error_text ( 6081085226050792095 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for uninstall_system_app_text ( 4172046090762920660 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for dream_name ( 1530253749244328964 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_hint_text ( 6617836969016293992 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for workspace_description_format ( 2950174241104043327 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for default_scroll_format ( 7475544710230993317 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for workspace_scroll_format ( 8458889198184077399 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for apps_customize_apps_scroll_format ( 370005296147130238 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for apps_customize_widgets_scroll_format ( 3106209519974971521 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for first_run_cling_title ( 2459738000155917941 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for first_run_cling_description ( 6447072552696253358 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for first_run_cling_create_screens_hint ( 6950729526680114157 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for migration_cling_title ( 9181776667882933767 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for migration_cling_description ( 2752413805582227644 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for migration_cling_copy_apps ( 946331230090919440 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for migration_cling_use_default ( 2626475813981258626 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for workspace_cling_title ( 5626202359865825661 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for workspace_cling_move_item ( 528201129978005352 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_cling_title ( 3894908818693254164 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_cling_create_folder ( 6158215559475836131 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for cling_dismiss ( 8962359497601507581 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_opened ( 94695026776264709 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_tap_to_close ( 1884479294466410023 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_tap_to_rename ( 9191075570492871147 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_closed ( 4100806530910930934 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_renamed ( 1794088362165669656 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for folder_name_format ( 6629239338071103179 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for widget_button_text ( 2880537293434387943 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for wallpaper_button_text ( 8404103075899945851 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for settings_button_text ( 8119458837558863227 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for package_state_enqueued ( 6227252464303085641 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for package_state_downloading ( 4088770468458724721 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for package_state_installing ( 7588193972189849870 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for package_state_unknown ( 7592128424511031410 ) - - > <nl> - < skip / > <nl> - < ! - - no translation found for package_state_error ( 7672093962724223588 ) - - > <nl> - < skip / > <nl> - < / resources > <nl> mmm a / tests / tapl / com / android / launcher3 / tapl / LauncherInstrumentation . java <nl> ppp b / tests / tapl / com / android / launcher3 / tapl / LauncherInstrumentation . java <nl> public final class LauncherInstrumentation { <nl> } <nl> <nl> public void enableCheckEventsForSuccessfulGestures ( ) { <nl> - mCheckEventsForSuccessfulGestures = true ; <nl> + / / b / 153824894 <nl> + / / mCheckEventsForSuccessfulGestures = true ; <nl> } <nl> <nl> public void setOnLauncherCrashed ( Runnable onLauncherCrashed ) {",Disable sensor manager for tests in platform,0
"mmm / dev / null <nl> ppp b / java / libraries / lwjgl / src / processing / lwjgl / LWJGL . java <nl> <nl> + package processing . lwjgl ; <nl> + <nl> + public interface LWJGL { <nl> + static final String P2D = "" processing . lwjgl . PGraphics2D "" ; <nl> + static final String P3D = "" processing . lwjgl . PGraphics3D "" ; <nl> + }",Added LWJGL interface to hold the P2D / P3D constants,1
"mmm a / src / java / voldemort / VoldemortClientShell . java <nl> ppp b / src / java / voldemort / VoldemortClientShell . java <nl> public class VoldemortClientShell { <nl> } <nl> <nl> ClientConfig clientConfig = new ClientConfig ( ) . setBootstrapUrls ( bootstrapUrl ) <nl> + . setEnableLazy ( false ) <nl> . setRequestFormatType ( RequestFormatType . VOLDEMORT_V3 ) ; <nl> <nl> if ( options . has ( "" client - zone - id "" ) ) {",Disable lazy for ClientShell,0
"mmm a / src / java / org / apache / cassandra / gms / ApplicationState . java <nl> ppp b / src / java / org / apache / cassandra / gms / ApplicationState . java <nl> public enum ApplicationState <nl> RACK , <nl> RELEASE_VERSION , <nl> REMOVAL_COORDINATOR , <nl> + X_11_PADDING , / / padding specifically for 1 . 1 <nl> INTERNAL_IP , <nl> RPC_ADDRESS , <nl> SEVERITY ,",Add gossip padding for 1 . 1 .,0
deleted file <nl> mmm RtfAddableElement . java <nl> - package com . lowagie . text . rtf ; <nl> - import java . io . IOException ; <nl> - import java . io . OutputStream ; <nl> - import com . lowagie . text . Chunk ; <nl> - import com . lowagie . text . DocWriter ; <nl> - import com . lowagie . text . Font ; <nl> - import com . lowagie . text . rtf . document . RtfDocument ; <nl> - public abstract class RtfAddableElement extends Chunk implements RtfBasicElement { <nl> - protected RtfDocument <nl>,remove the rtf part,0
mmm a / aeron - client / src / main / java / uk / co / real_logic / aeron / Publication . java <nl> ppp b / aeron - client / src / main / java / uk / co / real_logic / aeron / Publication . java <nl> public class Publication implements AutoCloseable <nl> * / <nl> public long positionLimit ( ) <nl> { <nl> + ensureOpen ( ) ; <nl> + <nl> return positionLimit . getVolatile ( ) ; <nl> },Add an ensureOpen check to Publication . positionLimit ( ) .,0
"mmm a / . bomr / bomr . yaml <nl> ppp b / . bomr / bomr . yaml <nl> bomr : <nl> versions : <nl> # NPE in InstallMojo . installProjectPom ( InstallMojo . java : 387 ) <nl> - ' [ 3 . 2 . 0 ] ' <nl> + - project : derby <nl> + versions : <nl> + # 10 . 15 requires Java 9 <nl> + - ' [ 10 . 15 , ) ' <nl> verify : <nl> ignored - dependencies : <nl> # Avoid confliciting transitive requirements for",Prohibit upgrades to Derby 10 . 15 as it requires Java 9 .,1
"mmm a / src - ui / org / pentaho / di / ui / core / widget / StyledTextComp . java <nl> ppp b / src - ui / org / pentaho / di / ui / core / widget / StyledTextComp . java <nl> public class StyledTextComp extends Composite { <nl> undoStack . add ( 0 , rro ) ; <nl> } <nl> } <nl> + <nl> + public StyledText getStyledText ( ) { <nl> + return styledText ; <nl> + } <nl> }",Exposing the StyledText object for external use .,1
"mmm a / src / main / java / org / bukkit / event / entity / CreatureSpawnEvent . java <nl> ppp b / src / main / java / org / bukkit / event / entity / CreatureSpawnEvent . java <nl> public class CreatureSpawnEvent extends EntityEvent implements Cancellable { <nl> * When a slime splits <nl> * / <nl> SLIME_SPLIT , <nl> + / * * <nl> + * When an entity calls for reinforcements <nl> + * / <nl> + REINFORCEMENTS , <nl> / * * <nl> * When a creature is spawned by plugins <nl> * /",Add SpawnReason for Entity Reinforcements .,0
"mmm StateHandleStore . java <nl> ppp StateHandleStore . java <nl>  <nl> mmm ZooKeeperStateHandleStore . java <nl> ppp ZooKeeperStateHandleStore . java <nl> + import org . apache . flink . util . Preconditions ; <nl> + import java . util . Optional ; <nl> + import static org . apache . flink . util . Preconditions . checkState ; <nl> - if (exists(path) . isExisting()) { <nl> - throw new AlreadyExistException( <nl> - String . format(""ZooKeeper node %s already exists . "", path)) ; <nl> + final Optional<Stat> maybeStat = getStat(path) ; <nl> + if (maybeStat . isPresent()) { <nl>",refactors lock node structure to support atomic deletion in zookeeperstatehandlestore,1
mmm a / java - collections - conversions / src / test / java / com / baeldung / convertiteratortolist / ConvertIteratorToListServiceUnitTest . java <nl> ppp b / java - collections - conversions / src / test / java / com / baeldung / convert / iteratortolist / ConvertIteratorToListServiceUnitTest . java <nl> <nl> - package com . baeldung . convertiteratortolist ; <nl> + package com . baeldung . convert . iteratortolist ; <nl> <nl> import static org . hamcrest . MatcherAssert . assertThat ; <nl> import static org . hamcrest . collection . IsCollectionWithSize . hasSize ;,Renamed package to com . baeldung . convert . iteratortolist,0
mmm a / src / test / java / org / apache / commons / lang3 / AnnotationUtilsTest . java <nl> ppp b / src / test / java / org / apache / commons / lang3 / AnnotationUtilsTest . java <nl> <nl> NestAnnotation nest ( ) ; <nl> NestAnnotation [ ] nests ( ) ; <nl> } <nl> - <nl> + <nl> + @ Retention ( RUNTIME ) <nl> public @ interface NestAnnotation { <nl> String string ( ) ; <nl> String [ ] strings ( ) ;,make AnnotationUtilsTest # testAnnotationsOfDifferingTypes test what it was intended to test by making AnnotationUtilsTest . NestAnnotation visible at runtime ( closes <issue_id> ),1
mmm a / src / main / org / codehaus / groovy / runtime / DefaultGroovyMethods . java <nl> ppp b / src / main / org / codehaus / groovy / runtime / DefaultGroovyMethods . java <nl> import java . util . regex . Pattern ; <nl> * @ author Brad Long <nl> * @ author Jim Jagielski <nl> * @ author Rodolfo Velasco <nl> + * @ author jeremi Joslin <nl> * / <nl> public class DefaultGroovyMethods extends DefaultGroovyMethodsSupport {,"Add getBytes to InputStream , URL and File ( patch thanks to jeremi Joslin ) .",0
mmm ANXUtils . java <nl> ppp ANXUtils . java <nl>  <nl> mmm ANXAdapters . java <nl> ppp ANXAdapters . java <nl>  <nl> mmm ANXExchange . java <nl> ppp ANXExchange . java <nl>  <nl> mmm ANXV2 . java <nl> ppp ANXV2 . java <nl>  <nl> mmm ANXException . java <nl> ppp ANXException . java <nl>  <nl> mmm ANXValue . java <nl> ppp ANXValue . java <nl>  <nl> mmm ANXAccountInfo . java <nl> ppp ANXAccountInfo . java <nl>  <nl> mmm ANXAccountInfoWrapper . java <nl> ppp ANXAccountInfoWrapper . java <nl>  <nl> mmm ANXBitcoinDepositAddress . <nl>,"attach license check to validate phase , so that we will not forget to add license header to new file",1
mmm a / src / org / andengine / entity / text / Text . java <nl> ppp b / src / org / andengine / entity / text / Text . java <nl> import org . andengine . util . list . IFloatList ; <nl> import android . opengl . GLES20 ; <nl> <nl> / * * <nl> + * TODO Use { @ link CharSequence } instead of { @ link String } . <nl> * TODO Try Degenerate Triangles ? <nl> * <nl> * ( c ) 2010 Nicolas Gramlich,Added TOTO in Text class to use CharSequence insteaf of String .,1
"mmm DSXExchange . java <nl> ppp DSXExchange . java <nl> - import java . io . InputStream ; <nl> + import java . io . InputStream ; <nl> - logger . warn(""An exception occurred while loading the metadata"") ; <nl> + logger . warn(""An exception occurred while loading the metadata"", e) ; <nl>",log swallow exception so that the user can see why the metadata be n't populated,1
deleted file <nl> mmm BlazePersistenceBulkUpdateDeleteTest . java <nl> - package com . vladmihalcea . book . hpjp . hibernate . criteria . blaze ; <nl> - import com . blazebit . persistence . * ; <nl> - import com . blazebit . persistence . impl . builder . predicate . RestrictionBuilderImpl ; <nl> - import com . blazebit . persistence . spi . CriteriaBuilderConfiguration ; <nl> - import com . vladmihalcea . book . hpjp . util . AbstractTest ; <nl> - import com . vladmihalcea . book . hpjp . util . providers . Database ; <nl> - <nl>,use jpa metamodel to build the blaze bulk query,1
